city,CDP_response_year,most_sig_hazard,probability,magnitude,expected_intensity_change,expected_frequency_change,timeframe_expected_change,population_exposed
New York,2022,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
New York,2022,Extreme heat,High,High,Increasing,Increasing,Short-term (by 2025),20-30%
New York,2022,Flood and sea level rise,High,High,Increasing,Increasing,Short-term (by 2025),<10%
Los Angeles,2022,Extreme Precipitation,High,Medium High,Increasing,Do not know,Medium-term (2026-2050),90-100%
Los Angeles,2022,Heat stress,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),90-100%
Los Angeles,2022,Water Scarcity,High,High,Increasing,Increasing,Medium-term (2026-2050),90-100%
Los Angeles,2022,Wild fire,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),10-20%
Los Angeles,2022,Flood and sea level rise,Medium,Medium High,Increasing,Increasing,Medium-term (2026-2050),<10%
Chicago,2022,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),<10%
Chicago,2022,Extreme heat,Medium High,Medium Low,Increasing,Increasing,Medium-term (2026-2050),20-30%
Chicago,2022,Extreme Precipitation,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),10-20%
Chicago,2022,Extreme wind,Low,Medium Low,Increasing,Increasing,Short-term (by 2025),<10%
Chicago,2022,Extreme cold,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),20-30%
Houston,2022,Extreme heat,High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
Houston,2022,Water Scarcity,High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
Houston,2022,Flood and sea level rise,High,High,Increasing,None,Short-term (by 2025),30-40%
Houston,2022,Storm and wind,High,High,Increasing,Increasing,Short-term (by 2025),90-100%
Houston,2022,Extreme Precipitation,High,High,Increasing,None,Short-term (by 2025),90-100%
Houston,2022,Air pollution,High,Medium,Do not know,Do not know,Not known (not possible to define),90-100%
Phoenix,2022,Heat stress,High,Medium,Increasing,Decreasing,Medium-term (2026-2050),40-50%
Phoenix,2022,Biological hazards,Low,Low,Increasing,Increasing,Medium-term (2026-2050),30-40%
Phoenix,2022,Extreme heat,High,Medium,Increasing,Increasing,Medium-term (2026-2050),10-20%
Phoenix,2022,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),<10%
Phoenix,2022,Water Scarcity,High,Medium Low,Increasing,Increasing,Short-term (by 2025),<10%
Philadelphia,2022,Extreme heat,Medium High,High,Increasing,Increasing,Medium-term (2026-2050),30-40%
Philadelphia,2022,Flood and sea level rise,High,Medium High,Increasing,Increasing,Short-term (by 2025),10-20%
San Antonio,2022,Water Scarcity,High,High,Increasing,Increasing,Medium-term (2026-2050),90-100%
San Antonio,2022,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),40-50%
San Antonio,2022,Heat stress,High,High,Increasing,Increasing,Medium-term (2026-2050),40-50%
