city,population,population_year,CDP_response_year
New York,8804190,2020,2022
Los Angeles,3819538,2022,2022
Chicago,8577735,2020,2022
Houston,2304580,2020,2022
Phoenix,1680992,2020,2022
Philadelphia,1576251,2021,2022
San Antonio,1434270,2021,2022
San Diego,1415000,2021,2022
Austin,1272018,2020,2022
Dallas,1288457,2021,2022
San José,976482,2022,2022
Indianapolis,957337,2020,2022
Columbus,909686,2021,2022
Charlotte,879706,2021,2022
Portland,829560,2020,2022
San Francisco,873965,2020,2022
Seattle,737015,2020,2022
Denver,715878,2020,2022
